,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
SEIC UW Equity,4.6,4.333,4.333,4.333,4.333,4,4,4.143,4.143,3.857,3.75,3.5
SEM UN Equity,2.857,2.857,3.833,3.833,4.429,4.333,4.333,4,3.857,4,4.125,4.286
SENEA UW Equity,#N/A N/A,,,,,,,,,,,
SENS UA Equity,5,5,5,5,5,5,5,4.5,4.333,4.333,4.111,3.889
SERV UN Equity,4.286,4.375,4.375,4.125,4.5,4.5,4.75,4.357,3.929,3.786,3.545,3.909
SF UN Equity,3,3,3,3.4,4.2,4,3.5,4,3.6,4.167,4.167,4.167
SFBS UW Equity,2.5,3,3,3,3,3,3,3.5,3.5,3.5,3.5,3.4
SFE UN Equity,4.4,4.75,4.75,4.4,4.4,4.4,4.667,4.667,4.667,4.667,4.667,4.667
SFIX UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,3.857,3.75,3.857,3.8,3.545,3.545,3.667,4,4.067
SFL UN Equity,3,3,2.714,3,3,3.286,3.75,4,4.111,4.25,4.333,4.333
SFM UW Equity,4.143,4.045,4.087,4.043,4.045,4,3.727,3.455,3.136,3.333,3.05,3.15
SFNC UW Equity,2.6,3,3.8,3.4,3.8,3.8,3.4,3.667,3.857,3.571,3.857,3.667
SFST UQ Equity,3.667,5,5,5,5,4,4,4,4,4,4.333,4.333
SGA UQ Equity,#N/A N/A,,,,,,,,,,,
SGC UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
SGEN UW Equity,3.556,3.533,3.625,3.941,4,4.143,4.143,4.143,4.067,4,4.222,4.263
SGH UW Equity,#N/A N/A,5,5,5,5,5,5,5,4.667,5,5,5
SGMO UW Equity,4.333,4.333,4.333,4.714,4.714,4.714,4.714,4.25,4.25,4.143,4.25,4.25
SGMS UW Equity,3.5,3.5,3.667,4,4.111,4.111,3.667,3.636,3.636,3.636,3.5,3.4
SGRY UW Equity,4.4,4.4,3.889,3.75,3.857,4,4.333,4.4,4.4,4.4,4.25,4.429
SHAK UN Equity,3.182,3.545,3.364,3.364,3.364,3,3,3.333,3.545,3.5,3.533,3.471
SHBI UW Equity,5,5,5,5,5,5,5,5,4,4,4,4
SHEN UW Equity,4.5,4.5,4.5,4.5,4.333,3.667,4,4,4,4,4.5,4.5
SHO UN Equity,3.286,3.125,3,2.733,2.714,2.714,2.714,2.571,2.538,2.692,2.538,2.538
SHOO UW Equity,3.917,3.917,4,4.25,4.25,4.214,4.071,4.071,3.846,3.692,3.583,3.455
SHSP UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
SHW UN Equity,3.895,4.136,4.045,4.24,4.269,4.269,4.148,4.1,4.1,3.967,3.931,3.793
SI UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.333
SIBN UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.75,4.75,4.75,4.75,4.8
SIC UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5
SIEB UR Equity,#N/A N/A,,,,,,,,,,,
SIEN UW Equity,3,3.667,4.6,4.6,4.667,4.714,4.75,5,4.556,4.778,4.778,5
SIG UN Equity,4.056,3.786,3.857,3.857,3.308,3.364,3,3,2.778,2.75,2.6,2.6
SIGA UQ Equity,#N/A N/A,,,,,,,,,,,
SIGI UW Equity,3,3,3,3,3,3,2.667,2.75,2.75,2.75,2.75,2.75
