,3/31/2017,6/30/2017,9/29/2017,12/29/2017,3/30/2018,6/29/2018,9/28/2018,12/31/2018,3/29/2019,6/28/2019,9/30/2019,12/31/2019
AUB UW Equity,3.857,4.143,4.143,4.143,4.333,4,4,4.75,4.556,4.5,4,3.857
AVA UN Equity,2.714,3,2.5,2.333,2.333,2.333,2.333,2.333,3,2,1.8,1.8
AVAV UW Equity,3.333,3.333,3,3,3,3,3,3,3.286,3.571,3.571,4.143
AVB UN Equity,4,3.87,3.96,3.96,3.917,3.783,3.696,3.833,3.75,3.833,3.833,3.917
AVCO UR Equity,#N/A N/A,,,,,,,,,,,
AVD UN Equity,4.6,4.5,4.5,4.5,4.5,4.333,4.333,5,5,5,5,5
AVGO UW Equity,4.853,4.853,4.853,4.889,4.853,4.829,4.485,4.487,4.342,4.324,4.258,4.286
AVID UW Equity,3.667,3.667,3.667,3,3,2,2,2.333,2.333,3,3.667,4
AVLR UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.4,4,4.5,4.571,4.909,4.923
AVNS UN Equity,3,3,3.286,3.333,3.333,3.857,4.143,4,3.75,3.75,3.75,3.25
AVRO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4.714,4.714,4.778,4.778,4.8
AVT UW Equity,3,2.6,2.4,2.6,3,3.182,3.2,3.6,3.4,3.364,3.4,2.778
AVTR UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.8,4.778,4.684
AVX UN Equity,3,3,3,3,3,3,4,4,4,4,4,3
AVXL UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
AVY UN Equity,4,4.2,4.2,3.8,3.833,4,4.167,4.5,4,3.545,3.667,3.462
AVYA UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,4,4.667,4.667,4.25,3.8,4.25,4.25,4.25,4.25
AWI UN Equity,3.563,3.647,3.625,3.286,3.154,3.364,3.364,4,4.111,4,3.857,3.444
AWK UN Equity,4.059,3.824,3.824,3.75,3.824,3.8,3.875,3.933,3.75,3.8,3.667,3.533
AWR UN Equity,2.667,2.667,2.667,2.5,2.2,2,1.8,1.8,1.8,1.8,1.8,1.5
AX UN Equity,5,5,5,4.75,4.75,4.5,4.5,4.5,4.75,4.5,4.75,4.714
AXAS UR Equity,4.75,4.429,4.75,5,5,5,5,4.75,4.75,4.75,4.375,4.143
AXDX UR Equity,5,5,5,4.5,4.5,4.2,4.2,3.8,3.8,3.8,3.4,3.5
AXE UN Equity,3,3.333,3.571,3.571,3.667,3.4,4,4,4,4,4.5,3
AXGN UR Equity,4.75,4.8,4.833,4.8,4.833,4.8,4.8,4.5,4.833,4.833,4.571,4.571
AXL UN Equity,3,3.308,3.462,3.462,3.923,3.909,3.889,4,4.167,4.167,4.455,4.273
AXLA UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5
AXNX UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5
AXP UN Equity,3.235,3.382,3.419,3.515,3.576,3.636,3.794,3.719,3.742,3.758,3.781,3.767
AXS UN Equity,2.636,2.778,3,3,3.4,3.364,3.364,3.364,3.545,3.8,4,4
AXSM UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
AXTA UN Equity,4.158,3.889,3.947,4.053,3.8,3.737,3.842,4.053,4.158,4.111,3.889,4
AXTI UW Equity,4.6,4.667,4.667,4.667,4.667,5,5,5,5,5,5,4.6
AYI UN Equity,4.357,4.214,4,3.875,3.4,3.417,3.583,3.583,3.818,3.818,3.818,3.5
AYR UN Equity,3.143,3.154,2.8,2.818,3.167,3.167,3.333,3.333,3.2,3,3,3
AYX UN Equity,#N/A N/A,4.571,4.571,4.625,4.125,4.545,4.583,4.615,4.308,4.357,4.267,4.313
AZO UN Equity,4.214,4.071,3.889,3.714,3.741,3.88,3.88,3.833,3.75,3.818,3.762,3.957
AZPN UW Equity,3.4,3.286,3.5,3.444,3.222,3.444,3.444,3.667,3.75,4.333,4.5,4.333
AZZ UN Equity,3,3,3,3,3,3,3,3.667,3.667,3.667,3.667,3.667
B UN Equity,4.25,4,4,3.667,3.8,3.667,3.667,3.667,3.667,3.571,3.571,3.571
BA UN Equity,3.621,3.621,4,3.966,4.133,4.355,4.379,4.407,4.233,4.033,3.967,3.724
BAC UN Equity,4.306,4.2,4.235,4.265,4.229,4.303,4.324,4.344,4.242,4.182,4,4
BAH UN Equity,4.818,3.833,3.727,4.286,4.286,4.286,4.385,4.333,4.333,4.538,4.067,4.067
BANC UN Equity,4.25,4.25,4.25,4.333,3.889,3.889,3.889,3.889,3.667,3.667,3.222,3.25
BAND UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,4.8,4.8,4.833,4.5,4.5,4.5,4.5,4.167,4.571
BANF UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
BANR UW Equity,4.333,4.333,4.143,3.571,3.571,3.571,3.571,3.857,3.857,4.143,4.143,4
BATRA UW Equity,4,4,4,4,4,4,4,4,4,4,4,4.2
BATRK UW Equity,1,1,1,1,1,3,3,3,3,3,3,3
BAX UN Equity,3.235,3.526,3.526,3.471,3.947,3.889,3.889,4.053,4.474,4.1,4.053,4
BBBY UW Equity,2.704,2.615,2.667,2.667,2.565,2.304,2.391,2.364,2.636,3,3.1,3.2
BBCP UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5
BBIO UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
BBSI UW Equity,#N/A N/A,#N/A N/A,4,4,4.5,4.5,4.5,4.667,4.667,4.667,4.667,4.75
BBX UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5,5,5
BBY UN Equity,3.296,3.37,3.462,3.308,3.231,3.231,3.154,3.24,3.4,3.56,3.56,3.593
BC UN Equity,4.778,4.765,4.529,4.647,4.765,4.765,4.765,4.765,4.789,4.647,4.529,4.529
BCBP UQ Equity,#N/A N/A,#N/A N/A,5,5,4,4,4,4,3.667,3.667,3.667,3.667
BCC UN Equity,3.8,4.2,4.333,3.333,3.286,3.286,3.286,3.571,3.857,3.75,3.571,3
BCEI UN Equity,2.5,2.625,2.833,3.2,3.25,3.75,4,3.75,3.667,4.333,4.5,4.6
BCEL UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
BCML UW Equity,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5,5,5,5
BCO UN Equity,4,4,4.5,4.2,5,5,5,5,5,5,5,5
BCOR UW Equity,5,5,5,5,5,5,5,5,5,5,5,5
BCOV UW Equity,4.667,4.2,4.2,4.6,4.6,4.6,4.6,5,5,5,5,5
BCPC UW Equity,3,3,3,3,3,3,3,4.5,4.2,3.8,4,4
BCRX UW Equity,3.9,3.778,4.1,3.9,3.875,3.625,4.125,4.222,4.222,4,4,4.222
BDC UN Equity,4.333,4.273,4.333,4.167,4.636,4.636,4.636,3.8,3.667,3.667,3.667,3.5
BDGE UW Equity,3.5,3.5,3.5,3.667,3.667,3.667,3.667,3.667,3.667,4,3.8,3.8
BDN UN Equity,3.462,3.615,3.769,4.077,3.923,3.769,3.769,3.615,3.462,3.308,3.462,3.462
BDSI UW Equity,4.75,5,5,5,5,5,5,5,5,5,5,5
BDX UN Equity,3.889,4.176,4.176,4.176,4.091,4.3,4.3,4.273,4.217,4.364,4.3,4.444
BE UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.222,3.444,3.889,4.111,3.889,3.889
BEAT UW Equity,5,5,5,5,5,5,5,5,5,5,4.6,4.6
BECN UW Equity,4.25,4.25,4.625,4.5,4.625,4.333,4.111,3.588,3.556,3.556,3.353,3.125
BELFB UW Equity,4,4,3,3,3,3,5,5,5,5,5,5
BEN UN Equity,2.846,2.846,2.571,2.571,2.714,2.571,2.286,2.429,1.857,1.857,2,1.933
BERY UN Equity,4.571,4.714,4.733,4.714,4.857,4.867,4.867,4.867,4.5,4.6,4.692,4.692
BF/A UN Equity,#N/A N/A,,,,,,,,,,,
BF/B UN Equity,3,2.667,2.778,2.684,2.9,3,3.1,3,2.8,2.9,2.789,2.684
BFAM UN Equity,4.333,4.111,4.2,4,4.111,4,3.75,3.5,3.5,3.75,4.143,4.111
BFC UR Equity,#N/A N/A,#N/A N/A,5,5,5,5,5,5,4,3,3,3
BFIN UW Equity,4,4,4,4,4,4,4,4,4,3,3,3
BFS UN Equity,3.667,3.667,3.667,3.667,3.667,3.5,3.5,3.5,3.5,3.5,3.5,3.5
BFST UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,3.8,3.8
BG UN Equity,4.385,4.167,3.833,4,4.273,4.273,4.091,4.2,4.2,4.111,4.2,4.4
BGCP UW Equity,5,5,5,4,5,5,5,4.75,4.75,4.667,4.667,5
BGG UN Equity,4,4,4,3.5,4,4,3.5,3.5,3.5,3.5,3.5,3.5
BGS UN Equity,3.364,3.2,3.8,4.2,3.8,3.8,3.8,3.8,3,3,3,3
BGSF UN Equity,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5
BH UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3,3,3,3,3
BHB UA Equity,#N/A N/A,,,,,,,,,,,
BHE UN Equity,3.2,3,3,2.5,3,3,3,3,3.667,3.667,3.667,3.667
BHF UW Equity,#N/A N/A,#N/A N/A,3,3,3,3.133,3,3,2.867,2.467,2.467,2.429
BHLB UN Equity,3.667,4,4.333,4.333,4.333,3.667,3.333,3.4,3,3,3.4,3.4
BHR UN Equity,4,3.8,4,4.333,4.333,4.5,4.5,4.6,4.6,4.2,4.6,4.6
BHVN UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.714,4.714,4.778,4.778,4.778,4.778,4.778
BIG UN Equity,3.765,4.063,4.25,4.25,4,4,4.167,4.333,3.833,3.364,3.2,3.222
BIIB UW Equity,4.167,4.207,4.121,4.378,4.486,4.484,4.467,4.419,3.387,3.242,3.258,3.412
BIO UN Equity,4.333,5,5,5,4.5,4.333,3.8,4,5,5,5,5
BJ UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4,4.133,4.294,4.294,4.333,4.368
BJRI UW Equity,3.286,3.308,3.333,3.308,3.615,3.615,3.714,3.533,3.667,3.875,3.875,3.824
BK UN Equity,3.619,3.5,3.318,3.318,3.364,3.409,3.13,3.136,2.957,2.87,2.783,2.909
BKD UN Equity,4.125,4.125,4.167,4.167,3.5,3.5,3.714,3.714,3.714,3.5,3.429,3.429
BKE UN Equity,2.6,2.5,2.333,2.333,2.333,2.333,2.333,3,2.333,2.333,2.333,2.333
BKH UN Equity,4.714,4.667,4.6,3.857,3.571,3.667,3.286,3.286,3,3.286,3.286,3.75
BKI UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,4.429,4.6,4.714,4.692,4.643,4.643,4.786,4.786,4.417
BKNG UW Equity,4.611,4.556,4.568,4.459,4.459,4.421,4.222,4.316,4.027,4.081,3.971,3.889
BKR UN Equity,#N/A N/A,4,3.733,3.594,3.806,3.893,4.222,4.552,4.452,4.552,4.593,4.655
BKU UN Equity,4.2,4.125,4.067,4,3.667,3.8,3.667,3.8,3.533,3.286,3.286,3.533
BL UW Equity,4.333,4.25,4.25,4.375,3.875,3.875,4.125,3.875,3.778,3.778,3.125,3.3
BLBD UQ Equity,4.75,4.75,4.75,4.75,4.25,4.25,4.25,4.25,4.25,5,5,5
BLD UN Equity,4.6,4.333,4.333,4.714,4.714,4.778,4.778,4.5,4.556,4.333,4.25,4
BLDR UW Equity,4.6,4.6,4.6,4.6,4.6,4.5,4.538,4.167,3.615,3.615,3.727,4.091
BLFS UR Equity,4.333,4.333,5,5,5,5,5,5,5,5,5,5
BLK UN Equity,4.375,4.5,4.529,4.529,4.529,4.647,4.765,4.75,4.647,4.647,4.765,4.529
BLKB UW Equity,3.636,3.583,3.818,3.75,3.417,3.455,3.25,2.818,2.818,2.6,2.6,2.6
BLL UN Equity,4.077,3.923,3.923,4.143,4.429,4.429,4.286,4.143,4.067,4,3.714,4
BLMN UW Equity,3.8,3.571,3.571,3.286,3.308,3.167,3.462,3.714,3.833,3.923,4.2,4.2
BLUE UW Equity,4.176,4.333,4.125,4.158,4.1,4.238,4.182,4.417,4.333,4.364,4.217,4.429
BLX UN Equity,3,3,2,2,3,3,3,1,1,1,1,1
BMCH UW Equity,4.75,4.778,4.778,4.778,4.556,4.2,4.167,3.833,3.615,3.667,3.727,3.8
BMI UN Equity,3.4,3.4,3.333,3.333,3,3.4,3.4,3,3.333,3.333,3.333,3.333
BMRC UR Equity,3,3,3,3,3,3,3,3,3,3,3,3
BMRN UW Equity,4.565,4.524,4.583,4.68,4.68,4.667,4.68,4.571,4.556,4.52,4.52,4.6
BMTC UW Equity,4,4,4.5,4.5,4.333,4,4,4,3.5,3.8,3.8,3.8
BMY UN Equity,3.72,3.72,3.56,3.538,3.56,3.636,3.7,3.737,3.875,3.875,4.067,4.294
BNED UN Equity,4.333,4.333,4.333,4,4,4,4,4,4,5,4.333,5
BNFT UQ Equity,4.5,4.667,4.5,4.333,4.333,4.455,4.6,4.6,4.2,4.273,4.273,4.333
BOCH UQ Equity,5,4,4,4,4,4,4,4,4,4,4,4
BOH UN Equity,2.6,2.556,2.556,2.778,2.778,2.778,2.778,2.75,3,2.667,2.667,2.667
BOKF UW Equity,3.167,3.364,3.364,3.364,3.182,3.545,3.727,3.727,3.727,3.727,3.727,3.4
BOMN UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5
BOOM UW Equity,4,4,4,4,4,4,4.5,5,5,4.6,5,5
BOOT UN Equity,4,4,4.333,4.667,4.429,4.5,4.5,4.556,4.8,4.6,4.091,4.231
BOX UN Equity,4.214,4.308,4.462,4.583,4.583,4.308,4.308,4.267,4.235,3.867,3.538,3.429
BPFH UW Equity,3,3,3,3,3,3,3,3,3,3,3,3
BPMC UW Equity,4.875,4.875,4.889,4.889,4.889,4.875,4.889,4.889,4.875,4.889,4.833,4.643
BPOP UW Equity,3.75,3.75,3.75,4.778,4.778,4.778,4.778,4.778,5,5,5,5
BPR UW Equity,4.263,3.941,4,3.8,3.769,3.8,3,3,3,3,3,3
BPRN UW Equity,#N/A N/A,#N/A N/A,5,5,4.333,4.333,4.333,4.333,4.333,3,3,3
BR UN Equity,3.667,3.667,3.333,3.333,3.333,3.4,3.571,3.5,4,3.75,3,3.25
BRBR UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.538
BRC UN Equity,3.333,3.333,3.333,3.333,4.2,4.2,3,3,3,3,3,2.5
BREW UW Equity,4.333,4.333,4.333,4,3.833,3.6,3.75,3.75,4,4,4.2,3.4
BRG UA Equity,4.375,4.286,4.167,4,4.286,4.375,4.444,4.444,4.571,4.375,4.571,4.571
BRID UQ Equity,#N/A N/A,,,,,,,,,,,
BRK/B UN Equity,4,3.8,4,4,4,4.333,4,4.2,4.2,4.2,4.2,4.2
BRKL UW Equity,4.2,3.8,4.2,3.8,3.8,3.8,3.8,4.2,3.4,3.8,3.5,3.4
BRKR UW Equity,2.875,2.867,2.538,2.846,3,3.143,3,2.846,3.167,3.615,3.909,3.833
BRKS UW Equity,4.333,4.333,4.333,4.429,4.429,4.429,4.667,4.667,4.667,4.6,4,4
BRO UN Equity,3,3,3,3,3,3,3,3,2.833,3,3,3.182
BRP UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.333
BRT UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,4,4,4,4,4,4.25,4,4.167,4.167
BRX UN Equity,3.933,3.933,4.125,3.824,3.941,4.25,4.125,4.059,4.059,4.059,3.889,3.75
BRY UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4.4,4.333,4.556,4.556,3.556
BSET UW Equity,3,3,3,3,3,4,4,3,3,3,3,3
BSGM UR Equity,#N/A N/A,5,5,5,5,5,5,5,5,5,5,5
BSIG UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,3.571,3.857
BSRR UW Equity,3,3.4,3.8,3.333,3.667,3.667,3.667,4,4,4,4,3.8
BSTC UQ Equity,5,5,5,5,5,5,5,5,5,5,5,5
BSVN UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5
BSX UN Equity,4.538,4.481,4.462,4.538,4.556,4.615,4.692,4.692,4.692,4.76,4.769,4.75
BTAI UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5
BTU UN Equity,5,4.714,4.444,4.5,4.5,4.667,4.25,4.25,4.4,4.333,4,4
BURL UN Equity,4.765,4.778,4.684,4.789,4.765,4.579,4.545,4.429,4.2,4.1,4.143,4.25
BUSE UW Equity,3.889,4,4,4,4.25,4.5,4.5,4.5,4.5,4.5,4,4.143
BV UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.8,4.8,4.818,4.818,4.556,4.333
BWA UN Equity,3.591,3.565,3.5,3.5,3.65,3.889,4.059,4.333,4.3,4.4,4.2,4
BWB UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5,5,5,5,5,5
BWFG UQ Equity,5,5,5,5,5,3.667,3.667,3.667,3.667,3.667,4,4
BWXT UN Equity,4.833,4.571,4.571,4.444,4.182,3.9,4,3.778,3.556,3.556,3.556,3.556
BXC UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,5
BXG UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,5,5,4.5,3,3,3,3.667,3.667,3.667
BXMT UN Equity,4.333,4.333,4.429,4.25,3.75,3.75,3.75,3.6,3.444,3.5,3.5,3.4
BXP UN Equity,3.64,3.56,3.667,3.667,3.833,3.87,3.833,3.957,3.957,4.043,4.091,4.13
BXRX UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5
BXS UN Equity,3.167,3.182,3.182,3.182,3.2,3.2,3.2,3.2,3,3,3.2,3.222
BY UN Equity,#N/A N/A,#N/A N/A,4,4.2,4.2,4,4,4,3.667,3.667,3.667,4.2
BYD UN Equity,4.235,4.188,4.154,4.083,4.133,4.214,4.385,4.538,4.692,4.714,4.714,4.714
BYND UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,2.778,2.833,3
BYSI UR Equity,#N/A N/A,5,5,5,5,5,5,5,5,4,5,5
BZH UN Equity,3,3.2,3.2,3.25,4,4,3.5,3.5,3.5,3.667,4,4
C UN Equity,3.906,4.129,4.091,4,3.97,4.258,4.281,4.367,4.548,4.633,4.679,4.593
CABA UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5
CABO UN Equity,2.333,3.4,3.4,3,3,3.286,3,2.714,3,3,3.25,3.25
CAC UW Equity,5,5,5,4,4,4,4,4,4,4,3,3
CACC UW Equity,1.9,1.9,2.1,2.1,2.364,2.364,2.5,2.5,2.5,2.5,2.444,2.375
CACI UN Equity,4,4.286,4.429,4.6,4.467,4.571,4.286,4.385,4.5,4.273,4.231,4.385
CADE UN Equity,#N/A N/A,4,4.111,4.111,4.2,4.333,4.2,4.4,4.455,4.455,3.909,3.4
CAG UN Equity,3.824,3.875,3.875,4.25,4.25,4.538,4.571,4.6,4.571,4.5,4.2,4.111
CAH UN Equity,3.471,3.4,3.353,3.118,3,3.211,3.211,3.118,3.118,3,3,2.789
CAI UN Equity,3.8,3.8,3.8,4.2,4.6,4.667,4.6,4.6,4.2,4.2,4.5,4.2
CAKE UW Equity,3.4,3.421,3.381,3.381,3.3,3.1,3.19,3.091,3.286,3.261,3.348,3.261
CAL UN Equity,4.143,4.375,4.375,4.167,4,3.571,3.667,3.667,3.667,4.333,4.5,4.4
CALA UW Equity,4.25,4.4,4.25,4.4,4.8,4.8,4.8,4.8,4.8,4.8,5,5
CALM UW Equity,2.714,2.667,2.833,3.167,3.167,3,3,2,2.2,2.333,3,3
CALX UN Equity,3.5,3.5,3.571,3.571,4,3.8,4,4.5,4.5,4.5,4.5,4.5
CAMP UW Equity,4,4.111,4,3.667,4.25,4.25,4.25,4,4,3.889,3.889,3.667
CAR UW Equity,4,4,4.091,4.091,4.25,3.667,3.889,3.889,4.333,4.333,4.143,4
CARA UQ Equity,5,4.714,4.714,4.667,5,5,5,5,4.8,4.8,4.8,4.778
CARE UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3,3,3.667
CARG UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,3.4,3.286,3.5,4,4.182,4.417,4.308,4.267,4.267
CARO UR Equity,4.2,4.6,4.6,4.6,4.6,4.6,4.2,4.2,4.2,3.5,3.5,3
CARS UN Equity,#N/A N/A,4.667,4.4,4.4,3.714,3.857,3.857,3.667,3.667,3.667,3.444,3.667
CASA UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.429,4.333,4.667,4.714,3.5,3.286,3,2.714
CASH UW Equity,5,5,4.5,5,5,5,4.5,4.5,4.5,5,5,5
CASI UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
CASS UW Equity,#N/A N/A,,,,,,,,,,,
CASY UW Equity,4.167,3.833,4,3.857,3.923,3.857,4,3.923,3.923,3.769,3.462,3.6
CAT UN Equity,3.357,3.37,3.667,3.714,4.034,4.034,4,4.241,4.067,3.897,3.69,3.571
CATC UR Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,5,4,5
CATM UW Equity,3.889,3.889,3.444,3.444,3.444,3.5,3.667,4.143,4.143,4.25,4.25,4.25
CATO UN Equity,3,3,3,3,3,3,3,3,3,3,3,3
CATS UR Equity,5,5,5,4.5,4.5,4.5,4.5,4.5,4.75,5,5,5
CATY UW Equity,3.8,3.667,3.75,3.5,3.5,3.75,3.75,3.75,3.75,3.571,3.571,3.333
CB UN Equity,4.095,4.211,4.211,4.25,4.316,4.25,4.095,4.19,4.045,3.524,3.45,3.619
CBAN UQ Equity,#N/A N/A,,,,,,,,,,,
CBAY UW Equity,5,5,5,5,5,5,5,5,4.8,4.818,4.818,3.2
CBB UN Equity,3.25,3.571,3.333,3.286,3,2.5,2.5,2.333,3,3,3.5,4
CBL UN Equity,3,3.133,3.125,2,2,1.923,1.769,1.615,1.615,1.833,1.833,1.727
CBMG UW Equity,5,5,5,5,4,5,5,5,5,5,5,4.333
CBNK UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.5,4.5,4.5,4.5,4.333
CBOE UF Equity,4.143,4,3.714,3.615,3.462,3.462,3.8,3.8,4.2,3.933,3.75,3.588
CBRE UN Equity,4.444,4.375,4.222,4.222,4.273,4.455,4.273,4.273,4.091,4.111,3.889,4.091
CBRL UW Equity,3,3,3,2.778,2.75,2.75,3,3,3,3,3,2.8
CBSH UW Equity,2.636,2.636,2.455,2.455,2.636,2.636,2.455,2.455,2.636,2.6,2.4,2.4
CBT UN Equity,3.286,3.571,3.857,4.143,4.25,4.5,4.5,4.556,4.75,4.75,4.5,3.889
CBTX UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,3.667,3.667,3.667,3.667,3.667,3,3,3,3
CBU UN Equity,2.75,2.778,3,3.222,3.444,3.444,3.222,3.222,3.25,3.222,3.25,3.286
CBZ UN Equity,4,4,4,3,3,3.667,4,4,4,4,4,4
CC UN Equity,3.556,3.778,4.222,4,4,4.364,4.308,4.154,4.286,4.231,3.692,3.692
CCB UW Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4,4,4,4,4,4
CCBG UW Equity,2.667,2.667,2.6,2.6,3.4,3.4,3.4,3.4,3.4,3.4,3,3
CCF UA Equity,#N/A N/A,,,,,,,,,,,
CCI UN Equity,4.304,4.304,4.238,4.143,4.182,4.182,4.182,4.053,3.667,3.444,3.588,3.588
CCK UN Equity,4.2,4.2,4.067,4.077,4.286,4.25,4.125,4.5,4.412,4.375,4.25,4.333
CCL UN Equity,4.08,4.16,4.115,4.192,4.346,4.48,4.36,4.417,4.5,3.909,3.727,3.571
CCMP UW Equity,3.5,4,4.2,4.2,4.2,4.2,4.333,4.5,4.6,4.5,4.667,4.2
CCNE UW Equity,5,5,5,5,5,4,4,4,4,4,4,4
CCO UN Equity,3.4,3.5,3,3,3,3,3,4,5,5,4.429,4.429
CCOI UW Equity,4,3.842,3.778,3.333,3.235,3,3,3,3,2.889,2.875,2.75
CCRN UW Equity,4.75,4.75,4.714,4.5,3.667,3.8,3.6,3.667,3.444,3.286,3.286,3.286
CCS UN Equity,4.6,4.5,5,5,5,5,4.5,4.5,4,4.5,5,5
CCXI UW Equity,4,4,4,4,4,4.8,4.167,4.4,4.625,4.625,5,5
CDAY UN Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,3.667,3.909,3.833,3.857,3.615,4.067,4
CDE UN Equity,4.2,4.25,4.111,4.556,4.333,4.333,4.75,5,4.778,4.778,4.111,4.111
CDEV UR Equity,5,4.714,4.636,4.867,5,4.81,4.826,4.5,4,3.962,3.852,3.708
CDK UW Equity,3.667,4,4.333,4.333,4,4.333,4.333,4,4,4.2,4.2,4
CDLX UQ Equity,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4.667,4.714,4.714,4.714,5,5,4.714,4.5
CDMO UR Equity,5,5,5,5,5,5,5,5,5,5,5,5
CDNA UQ Equity,4.5,4.333,5,5,5,4.333,4.333,4.5,4.6,5,5,5
CDNS UW Equity,3.667,3.444,3.444,3.25,3.25,3.75,3.75,4.111,4.143,3.6,3.545,3.727
CDR UN Equity,3.4,3.4,3.4,3.4,3.4,4,4,4,4,4,3.4,3.4
CDW UW Equity,4.333,4.5,4.385,4.214,4.214,4.154,4.364,4.3,4.222,4,3.583,3.545
